,movie_id,production_company
0,0,Castle Rock Entertainment
0,0,Shangri-La Entertainment
0,0,Playtone
1,1,None
2,2,Castle Rock Entertainment
2,2,Darkwoods Productions
2,2,Warner Bros.
3,3,None
4,4,Castle Rock Entertainment
4,4,Village Roadshow Pictures
4,4,NPV Entertainment
5,5,Columbia Pictures
5,5,Castle Rock Entertainment
6,6,None
7,7,Castle Rock Entertainment
7,7,Village Roadshow Pictures
7,7,NPV Entertainment
8,8,Castle Rock Entertainment
8,8,Nelson Entertainment
8,8,Nelson Entertainment
9,9,Castle Rock Entertainment
9,9,Jerry Bruckheimer Films
9,9,Warner Bros.
10,10,Paramount Pictures
10,10,Skydance Media
10,10,Jerry Bruckheimer Films
11,11,Twentieth Century Fox
11,11,Paramount Pictures
11,11,Lightstorm Entertainment
12,12,Warner Bros.
12,12,Heyday Films
12,12,LuckyChap
13,13,Marvel Studios
13,13,Paramount Pictures
14,14,Marvel Studios
14,14,Paramount Pictures
14,14,DMG Entertainment
15,15,Paramount Pictures
15,15,Dreamworks Pictures
15,15,Hasbro
16,16,Walt Disney Pictures
16,16,Fairview Entertainment
16,16,Moving Picture Company (MPC)
17,17,Paramount Pictures
17,17,Hasbro
17,17,Di Bonaventura Pictures
18,18,Columbia Pictures
18,18,Marvel Studios
18,18,Pascal Pictures
19,19,Paramount Pictures
19,19,The Steve Tisch Company
19,19,Wendy Finerman Productions
22,22,Warner Bros.
22,22,Legendary Entertainment
22,22,Syncopy
23,23,Walt Disney Pictures
23,23,Mandeville Films
24,24,Warner Bros.
24,24,Legendary Entertainment
24,24,DC Entertainment
25,25,Warner Bros.
25,25,Atlas Entertainment
25,25,Cruel & Unusual Films
26,26,Warner Bros.
26,26,Heyday Films
27,27,Warner Bros.
27,27,DC Entertainment
27,27,6th & Idaho Productions
28,28,Warner Bros.
28,28,Village Roadshow Pictures
28,28,RatPac-Dune Entertainment
29,29,Warner Bros.
29,29,Village Roadshow Pictures
29,29,BRON Studios
30,30,Universal Pictures
30,30,Amblin Entertainment
30,30,Legendary Entertainment
31,31,Universal Pictures
31,31,Nintendo
31,31,Illumination Entertainment
32,32,Universal Pictures
32,32,Marc Platt Productions
32,32,Moving Pictures (I)
33,33,None
34,34,Universal Pictures
34,34,Amblin Entertainment
35,35,Universal Pictures
35,35,Amblin Entertainment
35,35,Legendary Entertainment
36,36,Universal Pictures
36,36,Amblin Entertainment
37,37,Universal Pictures
37,37,Amblin Entertainment
37,37,Perfect World Pictures
38,38,Universal Pictures
38,38,Illumination Entertainment
39,39,Universal Pictures
39,39,Illumination Entertainment
39,39,Dentsu
40,40,New Line Cinema
40,40,WingNut Films
40,40,The Saul Zaentz Company
41,41,New Line Cinema
41,41,WingNut Films
41,41,The Saul Zaentz Company
42,42,New Line Cinema
42,42,RatPac-Dune Entertainment
42,42,Vertigo Entertainment
43,43,New Line Cinema
43,43,WingNut Films
43,43,Marzano Films
44,44,Metro-Goldwyn-Mayer (MGM)
44,44,New Line Cinema
44,44,WingNut Films
45,45,Metro-Goldwyn-Mayer (MGM)
45,45,New Line Cinema
45,45,WingNut Films
46,46,New Line Cinema
46,46,Metro-Goldwyn-Mayer (MGM)
46,46,WingNut Films
47,47,None
48,48,New Line Cinema
48,48,Gratitude International
48,48,Team Todd
49,49,New Line Cinema
49,49,Double Dream
49,49,Vertigo Entertainment
53,53,Universal Pictures
53,53,Media Rights Capital (MRC)
53,53,Fuzzy Door Productions
54,54,Miramax
54,54,Producers Circle
54,54,Storyline Entertainment
55,55,Blumhouse Productions
55,55,Miramax
55,55,Night Blade Holdings
56,56,Dimension Films
56,56,Wayans Bros. Entertainment
56,56,Gold/Miller Productions
57,57,None
58,58,Miramax
58,58,Lawrence Bender Productions
58,58,Be Gentlemen Limited Partnership
59,59,None
60,60,None
61,61,None
62,62,None
63,63,None
64,64,None
65,65,None
66,66,None
67,67,Produzioni Europee Associate (PEA)
67,67,Les Productions Artistes Associés
68,68,None
69,69,None
70,70,Lucasfilm
70,70,Bad Robot
71,71,Columbia Pictures
71,71,Pascal Pictures
71,71,Marvel Studios
72,72,Lucasfilm
72,72,Ram Bergman Productions
72,72,Bad Robot
73,73,Lucasfilm
73,73,Allison Shearmur Productions
74,74,Lucasfilm
74,74,Bad Robot
74,74,British Film Commission
75,75,Lucasfilm
76,76,Lucasfilm
