,movie_id,language
0,0,English
1,1,None
2,2,English
2,2,French
3,3,None
4,4,English
4,4,Russian
4,4,Hawaiian
5,5,English
6,6,None
7,7,English
8,8,English
9,9,English
10,10,English
11,11,English
11,11,Swedish
11,11,Italian
11,11,French
12,12,English
12,12,Spanish
13,13,English
13,13,Russian
14,14,English
15,15,English
15,15,Spanish
16,16,English
17,17,English
17,17,Russian
18,18,English
18,18,Spanish
19,19,English
22,22,English
22,22,Mandarin
23,23,English
24,24,English
24,24,Arabic
25,25,English
25,25,German
25,25,Dutch
25,25,Flemish
25,25,French
25,25,Spanish
25,25,Chinese
25,25,"Greek, Ancient (to 1453)"
25,25,North American Indian
26,26,English
26,26,Latin
27,27,English
27,27,Spanish
27,27,Latin
27,27,Italian
28,28,English
28,28,Arabic
29,29,English
29,29,German
30,30,English
31,31,English
32,32,English
33,33,English
34,34,English
35,35,English
35,35,Russian
36,36,English
36,36,Spanish
37,37,English
37,37,Maltese
37,37,French
38,38,English
38,38,Vietnamese
39,39,English
40,40,English
40,40,Quenya
40,40,Old English
40,40,Sindarin
41,41,English
41,41,Sindarin
41,41,Old English
42,42,English
42,42,Hebrew
43,43,English
43,43,Sindarin
44,44,English
45,45,English
46,46,English
47,47,None
48,48,English
48,48,Japanese
48,48,German
48,48,French
49,49,English
49,49,North American Indian
49,49,Spanish
53,53,English
53,53,Japanese
53,53,Ukrainian
54,54,English
54,54,Hungarian
55,55,English
56,56,English
57,57,None
58,58,English
59,59,None
60,60,None
61,61,None
62,62,None
63,63,None
64,64,None
65,65,None
66,66,None
67,67,Italian
67,67,English
67,67,Latin
67,67,Gaelic
68,68,None
69,69,None
70,70,English
71,71,English
71,71,Tagalog
72,72,English
73,73,English
74,74,English
75,75,English
75,75,Sanskrit
76,76,English
77,77,English
78,78,English
78,78,Italian
78,78,Czech
79,79,English
80,80,English
80,80,Japanese
81,81,English
82,82,English
82,82,Vietnamese
82,82,Japanese
83,83,English
84,84,English
84,84,Japanese
85,85,English
85,85,Cantonese
85,85,Mandarin
85,85,Japanese
85,85,Chinese
86,86,English
86,86,Spanish
86,86,Russian
87,87,English
87,87,Japanese
89,89,English
89,89,Central Khmer
89,89,Russian
89,89,Italian
92,92,English
92,92,Spanish
93,93,English
93,93,Spanish
93,93,Hebrew
94,94,English
95,95,English
96,96,None
97,97,English
97,97,French
97,97,German
97,97,Czech
98,98,English
99,99,English
100,100,English
100,100,Korean
101,101,Japanese
102,102,English
103,103,Japanese
104,104,Japanese
104,104,English
105,105,Japanese
105,105,English
106,106,Japanese
107,107,French
107,107,Portuguese
108,108,Japanese
108,108,German
108,108,Italian
108,108,French
109,109,Japanese
112,112,English
114,114,English
114,114,Persian
114,114,Urdu
114,114,Arabic
114,114,Kurdish
114,114,Hindi
114,114,Hungarian
115,115,English
115,115,French
115,115,Russian
118,118,English
119,119,English
119,119,Spanish
120,120,English
120,120,French
120,120,Spanish
121,121,English
122,122,English
122,122,Spanish
124,124,English
124,124,Indonesian
125,125,English
126,126,English
129,129,English
129,129,Turkish
129,129,Greek
129,129,Mandarin
129,129,French
130,130,English
130,130,Portuguese
131,131,None
132,132,English
132,132,Japanese
132,132,French
132,132,Latin
132,132,Chinese
134,134,None
135,135,English
135,135,Russian
136,136,English
137,137,None
138,138,None
139,139,None
140,140,English
141,141,English
141,141,French
141,141,Latin
142,142,None
142,142,English
143,143,English
143,143,Esperanto
143,143,Latin
144,144,None
144,144,English
145,145,None
145,145,English
146,146,None
146,146,English
147,147,English
148,148,English
149,149,None
149,149,English
151,151,English
152,152,English
152,152,Japanese
152,152,Spanish
152,152,Danish
153,153,English
153,153,Spanish
154,154,English
154,154,Persian
155,155,English
155,155,Irish Gaelic
155,155,German
156,156,English
157,157,English
158,158,English
158,158,Italian
159,159,English
159,159,Spanish
160,160,None
161,161,None
162,162,English
163,163,None
164,164,None
165,165,None
166,166,None
167,167,English
167,167,German
167,167,Swedish
167,167,Norwegian
167,167,Danish
167,167,French
168,168,None
169,169,English
169,169,Spanish
169,169,French
169,169,Russian
174,174,English
174,174,Spanish
175,175,English
175,175,Japanese
175,175,Russian
177,177,English
177,177,Portuguese
177,177,Latvian
178,178,English
179,179,English
180,180,English
180,180,Japanese
180,180,Xhosa
180,180,German
182,182,English
182,182,Swahili
182,182,Nama
182,182,Xhosa
182,182,Korean
183,183,English
184,184,English
184,184,French
184,184,Spanish
187,187,English
187,187,Xhosa
187,187,Maya
187,187,Spanish
187,187,Haitian
187,187,French
188,188,English
189,189,English
189,189,Spanish
189,189,Chinese
